,keyword,category,title,summary,date,href
10, AI ,Документи,2020 Year End disclosure DSK Bank Group According to Regulation 575 dated 2013 on Prudential Requirements for Credit institutions and investment firms,NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/2020-%D0%B3/bank-group-year-end-disclosure-according-to-regulation-575-dated-2013-on-prudential-requirements-for-credit-institutions-and-investment-firms.pdf
11, AI ,Документи,Year and disclosure DSK Bank for 2017 according to Regulation 575 dated 2013 on Prudential Requirements for Credit Institutions and Investments Firms,NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/2017/year-and-disclosure-dsk-bank-according-2017-to-regulation-575-dated-2013-on-prudential-requirements-for-credit-institutions-and-investments-firms.pdf
12, AI ,Документи,Years and disclosure DSK Bank Group for 2017 According to Regulation 575 dated 2013 on prudential requirements for credit institutions and investments firms,NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/2017/years-and-disclosure-dsk-bank-group---2017-according-to-regulation-575-dated-2013-on-prudential-requirements-for-credit-institutions-and-investments-firms.pdf
13, AI ,Документи,Годишен отчет на инвестиционните фондове 2022 H1,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B8-%D0%BE%D1%82%D1%87%D0%B5%D1%82%D0%B8/%D0%B3%D0%BE%D0%B4%D0%B8%D1%88%D0%B5%D0%BD-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%BD%D0%B0-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B8%D1%82%D0%B5-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5-2022-h1.pdf
14, AI ,Документи,Year and disclosure DSK Bank Group for 2018 According to Regulation 575 dated 2013 on prudential requirements for credit institutions and investment firms,NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/2019/year-and-disclosure-dsk-bank-group-according-to-regulation-575-dated-2013-on-prudential-requirements-for-credit-institutions-and-investment-firms.pdf
15, AI ,Документи,Year and disclosure DSK Bank for 2018 According to Regulation 575 dated 2013 on prudential requirements for credit institutions and investment firms,NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D0%BE%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8F%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F/2019/year-and-disclosure-dsk-bank-according-to-regulation-575-dated-2013-on-prudential-requirements-for-credit-institutions-and-investment-firms.pdf
16, AI ,Документи,"Separate Financial Statement for the Year Ended December 31, 2017, report on the management and activity, declaration of corporate governance and  independent  auditors' report",NA,NA,https://dskbank.bg/docs/default-source/%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B8/%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0-%D0%B4%D1%81%D0%BA/2017/separate-financial-statement-for-the-year-ended-december-31-2017-report-on-the-management-and-activity-declaration-of-corporate-governance-and-independent-auditors'-report.pdf
17, AI ,Документи,Asian Opportunities,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D1%88%D1%80%D1%8C%D0%BE%D0%B4%D0%B5%D1%80%D1%81-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D0%BC%D0%B5%D1%81%D0%B5%D1%87%D0%B5%D0%BD-%D0%B1%D1%8E%D0%BB%D0%B5%D1%82%D0%B8%D0%BD/asian-opportunities.pdf
18, AI ,Всички,"Хвърлих много усилия в изграждането на онлайн магазин, но нямам продажби.",NA,NA,https://dskbank.bg/for-your-business/articles/%D0%BF%D0%BE%D0%BB%D0%B5%D0%B7%D0%BD%D0%B8-%D1%81%D1%8A%D0%B2%D0%B5%D1%82%D0%B8-%D0%B7%D0%B0-%D0%BF%D0%BE%D0%B2%D0%B8%D1%88%D0%B0%D0%B2%D0%B0%D0%BD%D0%B5-%D0%BD%D0%B0-%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B6%D0%B1%D0%B8%D1%82%D0%B5-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD
19, AI ,Документи,Пълен проспект и правила на фонд ОТП Балансиран фонд на фондовете със смесени инвестиции,NA,NA,https://dskbank.bg/docs/default-source/otp-%D0%B2%D0%B7%D0%B0%D0%B8%D0%BC%D0%BD%D0%B8-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5/%D0%BF%D1%8A%D0%BB%D0%B5%D0%BD-%D0%BF%D1%80%D0%BE%D1%81%D0%BF%D0%B5%D0%BA%D1%82-%D0%B8-%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0-%D0%BD%D0%B0-%D1%84%D0%BE%D0%BD%D0%B4-%D0%BE%D1%82%D0%BF-%D0%B1%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%D0%B8%D1%80%D0%B0%D0%BD-%D1%84%D0%BE%D0%BD%D0%B4-%D0%BD%D0%B0-%D1%84%D0%BE%D0%BD%D0%B4%D0%BE%D0%B2%D0%B5%D1%82%D0%B5-%D1%81%D1%8A%D1%81-%D1%81%D0%BC%D0%B5%D1%81%D0%B5%D0%BD%D0%B8-%D0%B8%D0%BD%D0%B2%D0%B5%D1%81%D1%82%D0%B8%D1%86%D0%B8%D0%B8.pdf
