,keyword,title,summary,date,href
0,изкуствен интелект,https://www.fibank.bg/bg/chastni-lica/karti/debitni-karti/debit-mastercard-platinum/,"...ридобивки и привилегии, които предлага:&nbsp;AskPLEEZ! – е Вашият нов виртуален личен помощник. Той е перфектната комбинация от <mark>изкуствен интелект</mark> и човешка експертиза, създаден за да ви служи все по-добре с всяка делегирана писмено или гласово задача. AskPleez е на Ваше разп...",NA,https://www.fibank.bg/bg/chastni-lica/karti/debitni-karti/debit-mastercard-platinum/
1,изкуствен интелект,https://www.fibank.bg/bg/za-nas/novini/intervuta/glavnijat-izpylnitelen-direktor-i-predsedatel-na-upravitelnija-syvet-na-fibank-nikola-bakalov-pred-vestnik-filtyr-27-uli-2022-g,"...арисува картина.- Вече го прави в рисуването.- Не твори, а само възпроизвежда. Доброто изкуство няма да може да се прави от <mark>изкуствен интелект</mark>. Ето, театралните салони се пълнят с хора, които имат потребност да гледат живи актьори. Изкуственият интелект ще замени някои по...",19.08.22,https://www.fibank.bg/bg/za-nas/novini/intervuta/glavnijat-izpylnitelen-direktor-i-predsedatel-na-upravitelnija-syvet-na-fibank-nikola-bakalov-pred-vestnik-filtyr-27-uli-2022-g
2,големи данни,https://www.fibank.bg/bg/za-nas/novini/novini/g-n-nikola-bakalov-glaven-izpylnitelen-direktor-na-fibank-bankata-otgovarja-na-vsichki-zakonovi-iziskvanija-za-kapital,,19.06.20,https://www.fibank.bg/bg/za-nas/novini/novini/g-n-nikola-bakalov-glaven-izpylnitelen-direktor-na-fibank-bankata-otgovarja-na-vsichki-zakonovi-iziskvanija-za-kapital
3,големи данни,https://www.fibank.bg/bg/biznes-klienti/kreditirane/mikrokreditirane/finansov-instrument-mikrokreditirane-sys-spodelen-risk/,,NA,https://www.fibank.bg/bg/biznes-klienti/kreditirane/mikrokreditirane/finansov-instrument-mikrokreditirane-sys-spodelen-risk/
