,keyword,title,summary,date,href
17, AI ,Четири компании са отличени в програмата за растеж на Ендевър – Dare to Scale 2022,"Печелившите са Sofia Electric Brewing, Appolica, C4 Nexus и Swipe.bg",14 декември 2022,https://mediacenter.postbank.bg/%d1%87%d0%b5%d1%82%d0%b8%d1%80%d0%b8-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8-%d1%81%d0%b0-%d0%be%d1%82%d0%bb%d0%b8%d1%87%d0%b5%d0%bd%d0%b8-%d0%b2-%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc/
18, AI ,Четири компании са отличени в програмата за растеж на Ендевър – Dare to Scale 2022,"Печелившите са Sofia Electric Brewing, Appolica, C4 Nexus и Swipe.bg",14 декември 2022,https://mediacenter.postbank.bg/%d1%87%d0%b5%d1%82%d0%b8%d1%80%d0%b8-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8-%d1%81%d0%b0-%d0%be%d1%82%d0%bb%d0%b8%d1%87%d0%b5%d0%bd%d0%b8-%d0%b2-%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc-2/
19, AI ,“Играй футбол с PELE” стартират бензиностанции “ЕКО” в партньорство с Пощенска банка,"“Играй футбол с PELE” стартират бензиностанции “ЕКО” в партньорство с Пощенска банка
За първи път българските фенове ще могат да се сдобият с оригинални аксесоари с едноименната марка на футболната легенда PЕLE За първи път българските футболни фенове ще могат да се сдобият с оригинални аксесоари с едноименната марка на футболната легенда PЕLE. В партньорство с Пощенска банка (www.postbank.bg) верига бензиностанции “ЕКО” стартира атрактивна промоция по повод
17 април 2014
Научете повече",17 април 2014,https://mediacenter.postbank.bg/%d0%b8%d0%b3%d1%80%d0%b0%d0%b9-%d1%84%d1%83%d1%82%d0%b1%d0%be%d0%bb-%d1%81-pele-%d1%81%d1%82%d0%b0%d1%80%d1%82%d0%b8%d1%80%d0%b0%d1%82-%d0%b1%d0%b5%d0%bd%d0%b7%d0%b8%d0%bd%d0%be/
20, AI ,"“Иноваторите говорят” – как избираме нов дом в новата реалност, слушайте в епизод 2 на “Финанси на фокус”",Как се промени имотния пазар и поведението на клиентите след пандемията обсъждат в епизод 2 на подкаста “Финанси на фокус”.,21 юни 2021,https://mediacenter.postbank.bg/%d0%b8%d0%bd%d0%be%d0%b2%d0%b0%d1%82%d0%be%d1%80%d0%b8%d1%82%d0%b5-%d0%b3%d0%be%d0%b2%d0%be%d1%80%d1%8f%d1%82-%d0%ba%d0%b0%d0%ba-%d0%b8%d0%b7%d0%b1%d0%b8%d1%80%d0%b0%d0%bc%d0%b5-%d0%bd/
21, AI ,"“Иноваторите говорят” – как избираме нов дом в новата реалност, слушайте в епизод 2 на “Финанси на фокус”",Как се промени имотния пазар и поведението на клиентите след пандемията обсъждат в епизод 2 на подкаста “Финанси на фокус”.,21 юни 2021,https://mediacenter.postbank.bg/%d0%b8%d0%bd%d0%be%d0%b2%d0%b0%d1%82%d0%be%d1%80%d0%b8%d1%82%d0%b5-%d0%b3%d0%be%d0%b2%d0%be%d1%80%d1%8f%d1%82-%d0%ba%d0%b0%d0%ba-%d0%b8%d0%b7%d0%b1%d0%b8%d1%80%d0%b0%d0%bc%d0%b5-%d0%bd-2/
22, AI ,10 компании влизат в програмата за растеж на Endeavor – Dare to Scale,"Българският офис на глобалната мрежа Endeavor избра предприемачи от 10 български компании с голям потенциал за растеж за пилотното издание на новата си програма за растеж Dare to Scale – първата от този род в България, която е насочена към бизнеси, които вече са преминали през стартъп фазата.",20 юни 2019,https://mediacenter.postbank.bg/10-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8-%d0%b2%d0%bb%d0%b8%d0%b7%d0%b0%d1%82-%d0%b2-%d0%bf%d1%80%d0%be%d0%b3%d1%80%d0%b0%d0%bc%d0%b0%d1%82%d0%b0-%d0%b7%d0%b0-%d1%80%d0%b0%d1%81%d1%82%d0%b5/
23, AI ,NA,"Промоцията е валидна от 11 февруари до 11 април във всички магазини на веригата в цялата страна Пощенска банка (www.postbank.bg) стартира нова промоционална кампания съвместно със супермаркети Пикадили и Пикадили Daily за всички съществуващи и нови клиенти на кредитни карти American Express, Euroline American Express и Visa. В периода 11 февруари – 11 април 2013
11 февруари 2013
Научете повече",11 февруари 2013,https://mediacenter.postbank.bg/10-%d0%be%d1%82%d1%81%d1%82%d1%8a%d0%bf%d0%ba%d0%b0-%d0%b2-%d0%bc%d0%b0%d0%b3%d0%b0%d0%b7%d0%b8%d0%bd%d0%b8-%d0%bf%d0%b8%d0%ba%d0%b0%d0%b4%d0%b8%d0%bb%d0%b8/
24, AI ,22-ма предприемачи от 12 компании влизат в петото издание на Dare to Scale,"Компаниите, част от новата кохорта, са генерирали приходи от над 15 млн. лева за изминалата година",8 юни 2023,https://mediacenter.postbank.bg/22-%d0%bc%d0%b0-%d0%bf%d1%80%d0%b5%d0%b4%d0%bf%d1%80%d0%b8%d0%b5%d0%bc%d0%b0%d1%87%d0%b8-%d0%be%d1%82-12-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8-%d0%b2%d0%bb%d0%b8%d0%b7%d0%b0%d1%82-%d0%b2/
25, AI ,"Asen Yagodin: In Postbank, we develop sustainable financing through priority support for green businesses","Interview with Asen Yagodin, Executive Officer and Member of the Management Board of Postbank for 24 “chasa”",8 април 2023,https://mediacenter.postbank.bg/asen-yagodin-postbank-develop-sustainable-financing-priority-support-green-businesses/
26, AI ,Bank digitalization,4 January 2018.,4 януари 2018,https://mediacenter.postbank.bg/bank-digitalization/
