,keyword,title,date,href
0,artificial intelligence,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/optimum-fund-enhanced-intelligence,NA,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/optimum-fund-enhanced-intelligence
1,artificial intelligence,https://www.ubb.bg/en/news/view/agri-sector-representatives-ubb-and-state-administration-experts-discussed-sustainable-future,29 September 2023,https://www.ubb.bg/en/news/view/agri-sector-representatives-ubb-and-state-administration-experts-discussed-sustainable-future
2,artificial intelligence,https://www.ubb.bg/en/news/view/obb-startira-preakseleratorska-programa-challenge-you-v-partniorstvo-s-junior-achievement-bylgarija,25 February 2019,https://www.ubb.bg/en/news/view/obb-startira-preakseleratorska-programa-challenge-you-v-partniorstvo-s-junior-achievement-bylgarija
3,artificial intelligence,https://www.ubb.bg/en/news/view/umno-reshenie-za-vinarstvo-specheli-goljamata-nagrada-na-preakseleratorskata-programa-challengeyou,27 May 2019,https://www.ubb.bg/en/news/view/umno-reshenie-za-vinarstvo-specheli-goljamata-nagrada-na-preakseleratorskata-programa-challengeyou
4,artificial intelligence,https://www.ubb.bg/en/news/view/temporary-exemption-from-entrance-fees-for-the-purchase-of-units,14 November 2022,https://www.ubb.bg/en/news/view/temporary-exemption-from-entrance-fees-for-the-purchase-of-units
5,artificial intelligence,https://www.ubb.bg/en/news/view/rzb-group-best-regional-bank-central-and-eastern-europe,08 July 2004,https://www.ubb.bg/en/news/view/rzb-group-best-regional-bank-central-and-eastern-europe
6,big data,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/fond-ubb-expertease-defensive-balanced,NA,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/fond-ubb-expertease-defensive-balanced
7,big data,https://www.ubb.bg/en/business-clients/tyrgovsko-finansirane/dokumentarno-inkaso-po-iznos,NA,https://www.ubb.bg/en/business-clients/tyrgovsko-finansirane/dokumentarno-inkaso-po-iznos
8,big data,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/obb-ekpertiyz-es-er-ay-defanziven-konservativen,NA,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/obb-ekpertiyz-es-er-ay-defanziven-konservativen
9,big data,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/obb-ekspertiyz-es-er-ay-defanziven-balansiran,NA,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/obb-ekspertiyz-es-er-ay-defanziven-balansiran
10,big data,https://www.ubb.bg/en/individual-clients/credits/ipotechen-kredit-za-tekushti-nujdi,NA,https://www.ubb.bg/en/individual-clients/credits/ipotechen-kredit-za-tekushti-nujdi
11,big data,https://www.ubb.bg/en/business-clients/upravlenie-na-parichni-sredstva/masovi-plashtaniya-na-rabotni-zaplati,NA,https://www.ubb.bg/en/business-clients/upravlenie-na-parichni-sredstva/masovi-plashtaniya-na-rabotni-zaplati
12,big data,https://www.ubb.bg/en/business-clients/kreditirane/produkti-za-golemi-korporativni-klienti,NA,https://www.ubb.bg/en/business-clients/kreditirane/produkti-za-golemi-korporativni-klienti
13,big data,https://www.ubb.bg/en/individual-clients/credits/potrebitelski-kredit-s-fiksirana-lihva-iztsyalo-digitalno,NA,https://www.ubb.bg/en/individual-clients/credits/potrebitelski-kredit-s-fiksirana-lihva-iztsyalo-digitalno
14,big data,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/optimum-fund-enhanced-intelligence,NA,https://www.ubb.bg/en/individual-clients/spestyavaniya-i-investitsii/optimum-fund-enhanced-intelligence
15,big data,https://www.ubb.bg/en/news/view/zashtita-na-lichni-danni,25 May 2018,https://www.ubb.bg/en/news/view/zashtita-na-lichni-danni
16,big data,https://www.ubb.bg/en/news/view/obb-specheli-obshto-9-priza-i-goljamata-nagrada-za-inovacija-na-godinata-na-nagradite-b2b-awards,11 July 2019,https://www.ubb.bg/en/news/view/obb-specheli-obshto-9-priza-i-goljamata-nagrada-za-inovacija-na-godinata-na-nagradite-b2b-awards
17,big data,https://www.ubb.bg/en/news/view/rzb-sees-new-cefta-big-opportunity-southeastern-europe,25 October 2006,https://www.ubb.bg/en/news/view/rzb-sees-new-cefta-big-opportunity-southeastern-europe
18,big data,https://www.ubb.bg/en/news/view/Sigurnost-na-vashite-danni-v-sajtovete-na-OBB,16 April 2014,https://www.ubb.bg/en/news/view/Sigurnost-na-vashite-danni-v-sajtovete-na-OBB
19,big data,https://www.ubb.bg/en/news/view/upay-i-mastercard-iztegliha-golemija-pobeditel-v-promocijata-si-za-plashtane-na-bitovi-smetki,04 February 2016,https://www.ubb.bg/en/news/view/upay-i-mastercard-iztegliha-golemija-pobeditel-v-promocijata-si-za-plashtane-na-bitovi-smetki
20,big data,https://www.ubb.bg/en/news/view/umno-reshenie-za-vinarstvo-specheli-goljamata-nagrada-na-preakseleratorskata-programa-challengeyou,27 May 2019,https://www.ubb.bg/en/news/view/umno-reshenie-za-vinarstvo-specheli-goljamata-nagrada-na-preakseleratorskata-programa-challengeyou
