filename,href,parsed
Kонсолидирани Финансови отчети за 2011 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/4b/c6/4bc60498-2a4b-4884-a2de-9652294cea01/unicredit-bulbank-consolidated-annual-report-2011.pdf,2023-12-05 18:03:09.989183
Kонсолидирани Финансови отчети за 2012 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/82/c5/82c54e9b-c9d7-43e5-aa82-2ab25a90e83a/unicredit-bulbank-consolidated-annual-report-2012.pdf,2023-12-05 18:03:09.989183
Kонсолидирани Финансови отчети за 2013 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/7d/13/7d139428-41db-4d55-b9b8-b41f200f2de9/unicredit-bulbank-consolidated-annual-report-2013.pdf,2023-12-05 18:03:09.989183
Kонсолидирани Финансови отчети за 2014 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/81/f8/81f866c1-9a0b-48aa-a596-9de251e26416/unicredit-bulbank-consolidated-annual-report-2014.pdf,2023-12-05 18:03:09.989183
Kонсолидирани Финансови отчети за 2015 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/1b/ce/1bcea6fe-0b03-4758-a9a2-490797b02d65/unicredit-bulbank-consolidated-annual-report-2015.pdf,2023-12-05 18:03:09.989183
Годишен отчет на УниКредит Булбанк за 2008 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/3c/34/3c342c22-6228-45c9-9fc9-e7e096d38097/unicredit-bulbank-annual-report-2008.pdf,2023-12-05 18:03:09.989183
Годишен отчет на УниКредит Булбанк за 2010 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/9c/24/9c24a8c1-a1e0-46b1-b115-7adf92910225/unicredit-bulbank-annual-report-2010.pdf,2023-12-05 18:03:09.989183
Годишен отчет на УниКредит Булбанк за 2011 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/cb/6a/cb6a3ac6-ebe6-4e3a-91bf-6ff1b318f581/unicredit-bulbank-annual-report-2011.pdf,2023-12-05 18:03:09.989183
Годишен отчет на УниКредит Булбанк за 2012 г..pdf,https://www.unicreditbulbank.bg/media/filer_public/80/9e/809ef316-786e-4a51-b7b9-fb729a41dcf1/unicredit-bulbank-annual-report-2012.pdf,2023-12-05 18:03:09.989183
Годишен отчет на УниКредит Булбанк за 2013 година.pdf,https://www.unicreditbulbank.bg/media/filer_public/31/2e/312e052c-3f3f-43fc-8f88-a0d9e4f9807c/unicredit-bulbank-annual-report-2013.pdf,2023-12-05 18:03:09.989183
